土地补偿成本
序号,项目名称,单位,数值,单价（万元）,成本（万元）
1,土地补偿费,亩,49,20.25,992.25
2,青苗补偿费,亩,49,14,686
3,土地附着物补偿费,亩,49,23,1127
4,耕地开垦费,亩,12,21,252
5,耕地占用税,亩,12,19,15.2
6,土地补偿成本小计,-,0,0,78560.5

拆迁补偿成本
序号,项目名称,单位,数值,单价（万元）,成本（万元）
1,住宅拆迁成本,平方米,14,0.0014,0.0196
2,非住宅拆迁成本,平方米,13,0.0015,0.0195
3,拆迁清运费,平方米,27,0.0012,0.0324
4,拆迁评估费,-,0,0,0
4.1,住宅拆迁评估费,平方米,14,0.0011,0.0154
4.2,非住宅拆迁评估费,平方米,13,0.001,0.013
5,拆迁补偿成本小计,-,0,0,0.6383

人员（企业）补偿成本
序号,项目名称,单位,数值,单价（万元）,成本（万元）
1,安置补助费,-,0,0,0.01872
1.1,劳动力安置补助费,人,9,0.0016,0.0144
1.2,超转人员安置补助费,人,3.6,0.0012,0.00432
2,一次性搬迁补助费用,平方米,27,0.001,0.027
3,二次搬迁补助费用,平方米,12,0.0007,0.0084
4,提前搬迁奖励费,户,12,0.0011,0.0132
5,停业停产补助费,平方米,13,0.0006,0.0078
6,临时安置周转费,-,0,0,0.0271
6.1,住宅临时安置周转费,平方米,14,0.0011,0.0154
6.2,非住宅临时安置周转费,平方米,13,0.0009,0.0117
7,住宅拆迁安置费,-,0,0,0.0211
7.1,回迁安置,平方米,12,0.001,0.012
7.2,货币补偿,平方米,19,0.0001,0.0019
7.3,安置房建设评估费,平方米,12,0.0006,0.0072
8,人员（企业）补偿成本小计,-,0,0,1.51456

其他不可预见费用
序号,项目名称,单位,数值,单价（万元）,成本（万元）
1,其他不可预见费用,%,11,14399.3,1583.93

总成本
序号,项目名称,单位,数值,单价（万元）,成本（万元）
1,总成本,-,0,0,80146.6
